city,state_id,lat,lng,population,density,city_with_state
Kennett Square,PA,39.8438,-75.7113,5982,2168.1,"Kennett Square, PA"
Waterville,OH,41.5015,-83.7367,5980,447.2,"Waterville, OH"
Sharon Hill,PA,39.9075,-75.2679,5976,2990.1,"Sharon Hill, PA"
Richmond,MO,39.2755,-93.9729,5975,375.1,"Richmond, MO"
Wayne,NE,42.2379,-97.0101,5973,816.5,"Wayne, NE"
Yarmouth Port,MA,41.7091,-70.2225,5971,383.0,"Yarmouth Port, MA"
Metropolis,IL,37.1565,-88.7082,5963,382.5,"Metropolis, IL"
Elburn,IL,41.8852,-88.4606,5958,613.4,"Elburn, IL"
Indian Hills,NV,39.0894,-119.7977,5955,157.4,"Indian Hills, NV"
Lakehills,TX,29.6237,-98.9448,5955,75.9,"Lakehills, TX"
Bartonville,IL,40.6397,-89.6607,5952,285.5,"Bartonville, IL"
Gray,LA,29.678,-90.7831,5951,200.2,"Gray, LA"
Belding,MI,43.0968,-85.2331,5942,485.7,"Belding, MI"
Littlefield,TX,33.9192,-102.3348,5939,365.0,"Littlefield, TX"
Lakeview,NY,40.6775,-73.6493,5938,2290.9,"Lakeview, NY"
Lake Mohegan,NY,41.3165,-73.8475,5938,794.1,"Lake Mohegan, NY"
Clearfield,PA,41.0216,-78.439,5937,1271.5,"Clearfield, PA"
Geneva,OH,41.8007,-80.9461,5935,561.8,"Geneva, OH"
Oelwein,IA,42.6715,-91.9131,5934,475.9,"Oelwein, IA"
East Flat Rock,NC,35.2802,-82.4171,5934,535.5,"East Flat Rock, NC"
Aubrey,TX,33.2874,-96.9622,5932,760.8,"Aubrey, TX"
Moosic,PA,41.3584,-75.7027,5930,353.3,"Moosic, PA"
Groveport,OH,39.8586,-82.8978,5928,262.9,"Groveport, OH"
Norwood,PA,39.8864,-75.2964,5926,2941.6,"Norwood, PA"
Riverside,MD,39.4784,-76.2398,5924,875.2,"Riverside, MD"
Hudson,NY,42.2515,-73.7859,5923,1059.8,"Hudson, NY"
Gilbertsville,PA,40.3219,-75.609,5923,682.8,"Gilbertsville, PA"
Tea,SD,43.4564,-96.8257,5922,603.8,"Tea, SD"
Manasquan,NJ,40.1186,-74.045,5921,1656.9,"Manasquan, NJ"
Iroquois Point,HI,21.3218,-157.9803,5921,2812.5,"Iroquois Point, HI"
Lake Bluff,IL,42.2826,-87.851,5919,560.7,"Lake Bluff, IL"
Monroeville,AL,31.5162,-87.3279,5917,171.1,"Monroeville, AL"
Pollock Pines,CA,38.7575,-120.5921,5917,264.9,"Pollock Pines, CA"
Village of Oak Creek,AZ,34.7813,-111.7606,5915,434.5,"Village of Oak Creek, AZ"
Wake Village,TX,33.4238,-94.127,5909,764.3,"Wake Village, TX"
Pleasure Point,CA,36.9619,-121.9715,5909,3043.8,"Pleasure Point, CA"
Mocksville,NC,35.9007,-80.5631,5908,293.6,"Mocksville, NC"
Estes Park,CO,40.3699,-105.5217,5906,333.3,"Estes Park, CO"
Salamanca,NY,42.1631,-78.7233,5906,380.4,"Salamanca, NY"
West Bountiful,UT,40.8984,-111.9082,5905,688.6,"West Bountiful, UT"
District Heights,MD,38.8588,-76.8885,5905,2632.7,"District Heights, MD"
Rochester Institute of Technology,NY,43.0827,-77.6715,5901,1149.7,"Rochester Institute of Technology, NY"
Watford City,ND,47.8027,-103.2678,5900,253.8,"Watford City, ND"
Stokesdale,NC,36.2318,-79.9834,5900,119.7,"Stokesdale, NC"
Holdenville,OK,35.0838,-96.4017,5900,453.8,"Holdenville, OK"
Stroudsburg,PA,40.9838,-75.1972,5897,1320.2,"Stroudsburg, PA"
Ave Maria,FL,26.3218,-81.4397,5895,218.3,"Ave Maria, FL"
Los Ranchos de Albuquerque,NM,35.1625,-106.6482,5894,511.2,"Los Ranchos de Albuquerque, NM"
McKees Rocks,PA,40.4688,-80.063,5893,2154.7,"McKees Rocks, PA"
Cottonwood,CA,40.3903,-122.3156,5893,172.1,"Cottonwood, CA"
Conley,GA,33.6399,-84.3376,5892,1178.9,"Conley, GA"
Jonesborough,TN,36.2959,-82.4766,5891,427.2,"Jonesborough, TN"
Peoria Heights,IL,40.7466,-89.57,5890,912.4,"Peoria Heights, IL"
Asbury,IA,42.512,-90.7802,5890,715.6,"Asbury, IA"
Dallas,NC,35.3169,-81.183,5889,742.6,"Dallas, NC"
Westville,IN,41.5376,-86.9049,5885,698.9,"Westville, IN"
